"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-0.72","0.37","-1.53","-0.06","  NA",NA,"   NA",-1.9759880389245,0.0481561319163684
"terrieryes"," 1.31","0.44"," 0.52"," 2.33","9.06",1,"0.003",3.01171132882395,0.00259779508987731
"conditiontest","-0.10","0.30","-0.73"," 0.48","0.10",1,"0.747",-0.325881594942357,0.744513941337124
"z.trial","-0.10","0.15","-0.41"," 0.18","0.41",1,"0.522",-0.644240345772741,0.519419592121124
"first_conditiontest"," 0.28","0.40","-0.43"," 1.05","0.49",1,"0.486",0.699293494117505,0.484368632012135
