"","Estimate","SE","Chi2","Df","p","LowerCI","UpperCI","min","max","delta_aic"
"(Intercept)","-2.33","0.18","   NA","  NA","   NA","-2.69","-2.02","-2.41","-2.30",NA
"choiceopaque","-0.11","0.14"," 0.56","1.00","0.455","-0.39"," 0.16","-0.16","-0.08",1.44
"conditiontest"," 0.60","0.13","18.64","1.00","0.000"," 0.34"," 0.87"," 0.57"," 0.63",-16.64
"z.trial","-0.01","0.06"," 0.04","1.00","0.845","-0.14"," 0.10","-0.03"," 0.00",1.96
"first_conditiontest"," 0.10","0.18"," 0.33","1.00","0.566","-0.23"," 0.47"," 0.01"," 0.18",1.67
