"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)"," 0.43","0.42","-0.42"," 1.31","  NA",NA,"   NA",1.02163041302702,0.306955857646281
"firstchoice_pretest2transparent","-1.04","0.43","-1.94","-0.19","5.89",1,"0.015",-2.43044654304647,0.0150802304507893
"conditiontest","-0.11","0.30","-0.75"," 0.51","0.13",1,"0.719",-0.36160679572628,0.717645885617846
"z.trial","-0.09","0.15","-0.38"," 0.19","0.39",1,"0.532",-0.629513947622436,0.529012640435337
"first_conditiontest","-0.01","0.42","-0.84"," 0.81","0.00",1,"0.982",-0.0222494871997155,0.982248942269307
